type,seq,timestamp,taget_seq,taget,mac,rssi,rate,sig_mode,mcs,cwb,smoothing,not_sounding,aggregation,stbc,fec_coding,sgi,noise_floor,ampdu_cnt,channel_primary,channel_secondary,local_timestamp,ant,sig_len,rx_state,len,first_word_invalid,data
CSI_DATA,34535,2023-11-12 22:56:50.726,1,sit,d4:da:21:98:07:d9,-33,11,0,0,0,0,0,0,0,0,0,-99,0,12,2,418913113,0,37,0,104,0,"[-23, -4, -22, -5, -22, -7, -20, -8, -18, -9, -15, -10, -12, -10, -10, -10, -7, -10, -5, -10, -2, -10, 0, -9, 2, -8, 5, -7, 7, -5, 9, -3, 11, -1, 12, 0, 14, 2, 15, 4, 15, 5, 16, 6, 15, 5, 15, 5, 14, 4, 13, 1, 8, -4, 6, -7, 3, -9, 0, -11, -2, -12, -4, -12, -6, -11, -7, -10, -8, -8, -8, -5, -8, -2, -7, 1, -6, 5, -6, 8, -4, 10, -3, 12, -2, 13, -1, 13, 0, 13, 2, 12, 3, 10, 3, 9, 4, 6, 4, 4, 4, 2, 3, 0]"
CSI_DATA,34536,2023-11-12 22:56:50.736,1,sit,d4:da:21:98:07:d9,-33,11,0,0,0,0,0,0,0,0,0,-99,0,12,2,418922329,0,37,0,104,0,"[-16, -15, -15, -16, -13, -17, -12, -17, -9, -17, -7, -16, -4, -15, -2, -13, 0, -12, 2, -11, 4, -9, 5, -7, 6, -5, 7, -3, 7, 0, 8, 3, 8, 5, 9, 7, 9, 9, 9, 11, 9, 12, 9, 13, 9, 13, 9, 13, 9, 11, 9, 9, 8, 2, 8, -2, 7, -5, 6, -8, 5, -10, 3, -11, 2, -12, 0, -11, -1, -10, -3, -9, -5, -6, -6, -3, -7, 0, -9, 3, -9, 6, -10, 8, -9, 9, -8, 10, -7, 11, -6, 10, -4, 10, -2, 9, -1, 8, 0, 6, 1, 4, 2, 2]"
CSI_DATA,34537,2023-11-12 22:56:50.753,1,sit,d4:da:21:98:07:d9,-33,11,0,0,0,0,0,0,0,0,0,-99,0,12,2,418937832,0,37,0,104,0,"[-11, 19, -13, 18, -14, 17, -15, 15, -15, 12, -15, 9, -14, 7, -13, 4, -12, 1, -11, -1, -10, -3, -8, -4, -6, -5, -4, -7, -1, -8, 2, -9, 4, -10, 6, -10, 8, -11, 10, -11, 11, -11, 13, -11, 13, -11, 13, -11, 11, -11, 8, -11, 1, -10, -3, -10, -6, -9, -9, -8, -11, -6, -12, -5, -13, -3, -12, -2, -11, 0, -9, 2, -7, 4, -4, 5, 0, 6, 2, 8, 5, 8, 7, 9, 9, 9, 10, 8, 11, 7, 10, 6, 10, 4, 9, 3, 8, 1, 6, 0, 5, -1, 3, -2]"
CSI_DATA,34538,2023-11-12 22:56:50.758,1,sit,d4:da:21:98:07:d9,-33,11,0,0,0,0,0,0,0,0,0,-99,0,12,2,418945120,0,37,0,104,0,"[19, 9, 18, 11, 17, 12, 16, 14, 13, 13, 10, 13, 7, 13, 5, 12, 2, 11, 0, 10, -2, 9, -4, 7, -5, 5, -6, 3, -8, 0, -9, -2, -9, -5, -10, -7, -11, -9, -11, -11, -12, -12, -12, -13, -12, -13, -12, -13, -12, -11, -12, -8, -10, -1, -10, 2, -9, 6, -7, 8, -6, 11, -5, 12, -3, 12, -2, 11, 0, 10, 1, 8, 3, 6, 5, 2, 6, -1, 8, -4, 8, -6, 9, -9, 8, -10, 8, -11, 7, -12, 6, -12, 4, -11, 3, -10, 1, -9, 0, -7, -1, -6, -2, -4]"
CSI_DATA,34539,2023-11-12 22:56:50.770,1,sit,d4:da:21:98:07:d9,-33,11,0,0,0,0,0,0,0,0,0,-99,0,12,2,418957114,0,37,0,104,0,"[22, -2, 22, 0, 21, 2, 20, 4, 18, 5, 15, 6, 13, 7, 10, 7, 7, 8, 5, 8, 2, 8, 0, 7, -2, 5, -5, 4, -7, 3, -9, 1, -11, -1, -12, -2, -14, -4, -15, -5, -15, -6, -16, -7, -16, -6, -16, -6, -15, -5, -13, -2, -9, 4, -7, 7, -5, 9, -3, 11, -1, 13, 1, 13, 2, 13, 3, 11, 4, 9, 5, 7, 5, 4, 5, 0, 5, -3, 5, -7, 4, -9, 4, -11, 4, -13, 3, -14, 2, -14, 1, -13, 0, -12, -1, -11, -2, -9, -2, -7, -3, -5, -3, -3]"
CSI_DATA,34540,2023-11-12 22:56:50.780,1,sit,d4:da:21:98:07:d9,-33,11,0,0,0,0,0,0,0,0,0,-99,0,12,2,418965119,0,37,0,104,0,"[-10, -21, -8, -22, -5, -22, -4, -22, -2, -20, 0, -18, 2, -16, 3, -13, 4, -10, 5, -8, 6, -6, 6, -3, 5, -1, 5, 2, 5, 5, 4, 8, 3, 10, 2, 12, 1, 14, 1, 15, 0, 16, -1, 16, 0, 16, 0, 15, 1, 14, 3, 11, 7, 5, 9, 2, 10, -1, 11, -4, 12, -6, 11, -7, 11, -9, 9, -9, 7, -9, 4, -8, 2, -8, -2, -6, -5, -4, -8, -3, -10, -2, -12, 0, -13, 1, -14, 2, -14, 3, -13, 4, -11, 4, -10, 4, -8, 5, -6, 4, -4, 4, -2, 3]"
CSI_DATA,34541,2023-11-12 22:56:50.793,1,sit,d4:da:21:98:07:d9,-33,11,0,0,0,0,0,0,0,0,0,-99,0,12,2,418977766,0,37,0,104,0,"[0, -22, 1, -22, 3, -22, 5, -20, 6, -18, 6, -16, 7, -13, 7, -10, 7, -7, 7, -5, 7, -2, 6, 0, 5, 2, 3, 4, 2, 6, 0, 9, -1, 10, -2, 12, -4, 13, -5, 14, -5, 14, -6, 14, -5, 14, -5, 14, -3, 12, -1, 10, 4, 6, 7, 4, 9, 2, 11, 0, 12, -2, 13, -4, 12, -5, 11, -5, 9, -6, 7, -7, 4, -6, 0, -6, -3, -5, -6, -5, -9, -4, -10, -4, -12, -3, -13, -2, -13, -1, -12, 0, -11, 1, -10, 2, -9, 2, -7, 3, -5, 2, -3, 2]"
CSI_DATA,34542,2023-11-12 22:56:50.803,1,sit,d4:da:21:98:07:d9,-33,11,0,0,0,0,0,0,0,0,0,-99,0,12,2,418989110,0,37,0,104,0,"[-20, 10, -20, 8, -21, 6, -20, 5, -19, 3, -17, 1, -15, -1, -12, -2, -10, -4, -8, -5, -5, -6, -2, -6, 0, -6, 3, -7, 5, -6, 8, -6, 10, -5, 12, -5, 13, -4, 14, -3, 15, -3, 15, -3, 14, -3, 14, -3, 12, -3, 9, -4, 3, -7, -1, -9, -3, -10, -6, -11, -8, -11, -9, -10, -10, -10, -10, -8, -10, -6, -9, -5, -8, -2, -6, 1, -4, 4, -2, 6, -1, 8, 1, 10, 2, 11, 4, 11, 4, 11, 5, 10, 5, 9, 6, 7, 6, 6, 5, 4, 4, 2, 3, 1]"
CSI_DATA,34543,2023-11-12 22:56:50.810,1,sit,d4:da:21:98:07:d9,-33,11,0,0,0,0,0,0,0,0,0,-99,0,12,2,418997108,0,37,0,104,0,"[21, -1, 21, 0, 21, 2, 20, 4, 18, 4, 15, 5, 12, 6, 9, 6, 6, 6, 4, 6, 2, 6, -1, 5, -3, 4, -6, 4, -8, 3, -10, 1, -12, -1, -13, -1, -15, -3, -16, -4, -16, -5, -16, -6, -15, -5, -14, -4, -13, -3, -11, -1, -6, 5, -4, 7, -1, 9, 1, 11, 3, 12, 4, 12, 5, 12, 6, 11, 6, 9, 6, 6, 6, 4, 5, 0, 4, -3, 4, -6, 3, -8, 2, -11, 1, -12, 0, -13, -1, -13, -2, -12, -2, -11, -3, -10, -4, -8, -4, -7, -4, -5, -4, -3]"
CSI_DATA,34544,2023-11-12 22:56:50.828,1,sit,d4:da:21:98:07:d9,-33,11,0,0,0,0,0,0,0,0,0,-99,0,12,2,419014219,0,37,0,104,0,"[-23, -5, -23, -6, -22, -8, -21, -9, -18, -9, -15, -9, -12, -9, -9, -9, -6, -9, -3, -8, 0, -7, 2, -6, 4, -4, 7, -3, 8, -1, 10, 1, 12, 3, 13, 4, 13, 6, 14, 7, 14, 8, 13, 9, 13, 8, 12, 7, 11, 6, 10, 3, 6, -4, 5, -7, 4, -10, 2, -12, 0, -14, 0, -15, -2, -15, -2, -14, -4, -12, -4, -10, -5, -7, -6, -3, -6, 0, -7, 3, -7, 6, -7, 8, -7, 10, -7, 11, -6, 11, -4, 11, -3, 10, -2, 9, 0, 8, 0, 7, 1, 5, 1, 4]"
